Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
1,1,0,38.0,1,0,71.2833,0
1,1,0,35.0,1,0,53.1,2
0,1,1,54.0,0,0,51.8625,2
1,3,0,4.0,1,1,16.7,2
1,1,0,58.0,0,0,26.55,2
1,2,1,34.0,0,0,13.0,2
1,1,1,28.0,0,0,35.5,2
0,1,1,19.0,3,2,263.0,2
1,1,0,49.0,1,0,76.7292,0
0,1,1,65.0,0,1,61.9792,0
0,1,1,45.0,1,0,83.475,2
1,2,0,29.0,0,0,10.5,2
0,3,1,25.0,0,0,7.65,2
1,1,0,23.0,3,2,263.0,2
0,1,1,46.0,1,0,61.175,2
0,1,1,71.0,0,0,34.6542,0
1,1,1,23.0,0,1,63.3583,0
0,1,1,21.0,0,1,77.2875,2
0,1,1,47.0,0,0,52.0,2
0,1,1,24.0,0,1,247.5208,0
1,2,0,32.5,0,0,13.0,2
0,1,1,54.0,0,1,77.2875,2
1,1,0,19.0,0,2,26.2833,2
0,1,1,37.0,1,0,53.1,2
0,1,1,24.0,0,0,79.2,0
0,2,1,36.5,0,2,26.0,2
1,1,0,22.0,1,0,66.6,2
0,1,1,61.0,0,0,33.5,2
0,1,1,56.0,0,0,30.6958,0
0,1,0,50.0,0,0,28.7125,0
1,2,1,1.0,2,1,39.0,2
1,2,1,3.0,1,1,26.0,2
1,1,0,44.0,0,0,27.7208,0
1,1,0,58.0,0,0,146.5208,0
0,3,0,2.0,0,1,10.4625,2
1,1,1,40.0,0,0,31.0,0
1,1,0,31.0,1,0,113.275,0
1,1,0,32.0,0,0,76.2917,0
1,1,1,38.0,1,0,90.0,2
1,1,0,35.0,1,0,83.475,2
0,1,1,44.0,2,0,90.0,1
1,1,1,37.0,1,1,52.5542,2
0,3,0,29.0,1,1,10.4625,2
0,1,1,62.0,0,0,26.55,2
1,1,0,30.0,0,0,86.5,2
0,1,1,52.0,1,1,79.65,2
0,1,1,40.0,0,0,0.0,2
1,1,0,58.0,0,1,153.4625,2
1,1,0,35.0,0,0,135.6333,2
0,1,1,37.0,0,1,29.7,0
1,1,0,63.0,1,0,77.9583,2
1,1,0,19.0,1,0,91.0792,0
0,2,1,36.0,0,0,12.875,0
0,1,0,2.0,1,2,151.55,2
1,1,0,50.0,0,1,247.5208,0
1,1,1,0.92,1,2,151.55,2
1,1,0,17.0,1,0,108.9,0
1,1,0,30.0,0,0,56.9292,0
1,1,0,24.0,0,0,83.1583,0
1,1,0,18.0,2,2,262.375,0
1,1,0,31.0,0,2,164.8667,2
1,1,0,40.0,1,1,134.5,0
1,1,0,36.0,0,0,135.6333,0
1,2,0,36.0,0,0,13.0,2
1,1,0,16.0,0,1,57.9792,0
0,1,1,45.5,0,0,28.5,2
0,1,1,38.0,0,1,153.4625,2
0,1,1,29.0,1,0,66.6,2
1,1,0,41.0,0,0,134.5,0
0,1,1,45.0,0,0,35.5,2
1,2,1,2.0,1,1,26.0,2
1,1,0,24.0,3,2,263.0,2
1,2,0,24.0,0,0,13.0,2
1,1,0,22.0,0,1,55.0,2
1,1,0,60.0,1,0,75.25,0
1,1,0,24.0,0,0,69.3,0
1,1,1,25.0,1,0,55.4417,0
0,1,1,27.0,0,2,211.5,0
1,1,1,36.0,1,2,120.0,2
1,1,0,23.0,1,0,113.275,0
1,3,0,24.0,0,2,16.7,2
1,1,0,33.0,1,0,90.0,1
1,3,1,32.0,0,0,8.05,2
